Vivado Simulator 2020.2
Time resolution is 1 ps
[5075000] Count:         409 Conv_Debug = 130f
[5085000] Count:         410 Conv_Debug = 0a45
[5085000] Count:          99 Maxpool_Debug = 0000
[5095000] Count:         411 Conv_Debug = 0000
[5105000] Count:         412 Conv_Debug = 0000
[5105000] Count:         100 Maxpool_Debug = 0856
[5115000] Count:         413 Conv_Debug = 0000
[5125000] Count:         414 Conv_Debug = 0000
[5125000] Count:         101 Maxpool_Debug = 130f
[5135000] Count:         415 Conv_Debug = 0000
[5145000] Count:         416 Conv_Debug = 0000
[5145000] Count:         102 Maxpool_Debug = 0000
[5165000] Count:         103 Maxpool_Debug = 0000
[5175000] Count:         417 Conv_Debug = 0000
[5185000] Count:         418 Conv_Debug = 0000
[5185000] Count:         104 Maxpool_Debug = 0000
[5195000] Count:         419 Conv_Debug = 0000
[5205000] Count:         420 Conv_Debug = 0000
[5215000] Count:         421 Conv_Debug = 0000
[5225000] Count:         422 Conv_Debug = 0000
[5235000] Count:         423 Conv_Debug = 0000
[5245000] Count:         424 Conv_Debug = 0000
[5255000] Count:         425 Conv_Debug = 0000
[5265000] Count:         426 Conv_Debug = 0000
[5275000] Count:         427 Conv_Debug = 0000
[5285000] Count:         428 Conv_Debug = 0000
[5295000] Count:         429 Conv_Debug = 0000
[5305000] Count:         430 Conv_Debug = 0000
[5315000] Count:         431 Conv_Debug = 0000
[5325000] Count:         432 Conv_Debug = 0000
[5335000] Count:         433 Conv_Debug = 0000
[5345000] Count:         434 Conv_Debug = 070c
[5355000] Count:         435 Conv_Debug = 10c8
[5365000] Count:         436 Conv_Debug = 0838
[5375000] Count:         437 Conv_Debug = 0000
[5385000] Count:         438 Conv_Debug = 0000
[5395000] Count:         439 Conv_Debug = 0000
[5405000] Count:         440 Conv_Debug = 0000
[5415000] Count:         441 Conv_Debug = 0000
[5425000] Count:         442 Conv_Debug = 0000
[5455000] Count:         443 Conv_Debug = 0000
[5465000] Count:         444 Conv_Debug = 0000
[5475000] Count:         445 Conv_Debug = 0000
[5485000] Count:         446 Conv_Debug = 0000
[5495000] Count:         447 Conv_Debug = 0000
[5505000] Count:         448 Conv_Debug = 0425
[5505000] Count:         105 Maxpool_Debug = 0000
[5515000] Count:         449 Conv_Debug = 0a35
[5525000] Count:         450 Conv_Debug = 07bb
[5525000] Count:         106 Maxpool_Debug = 0000
[5535000] Count:         451 Conv_Debug = 0000
[5545000] Count:         452 Conv_Debug = 0000
[5545000] Count:         107 Maxpool_Debug = 0425
[5555000] Count:         453 Conv_Debug = 0000
[5565000] Count:         454 Conv_Debug = 0000
